record_id,res_ClO2,raw_turb,fin_turb,NH3N,CODMn_raw,CODMn_fin,bacteria,flow,clearwell_ClO2,terminal_dose_logged,year,month,day
232,0.11,7.12,0.3,0.14,3.84,2.12,,4963.0,0.13,,2021,10.0,3.0
233,0.1,14.2,0.29,0.25,4.04,1.5,130.0,2019.0,0.13,,2021,10.0,9.0
234,0.09,11.6,0.31,0.21,4.04,1.62,140.0,3888.0,0.11,,2021,10.0,11.0
235,0.26,15.2,0.3,0.18,3.52,1.6,,4912.0,0.12,,2021,10.0,12.0
236,0.09,10.8,0.36,0.12,3.96,1.63,,4748.0,0.13,,2021,10.0,13.0
237,0.15,17.1,0.33,0.19,4.32,1.66,,4967.0,0.15,,2021,10.0,17.0
238,0.09,16.3,0.41,0.13,5.32,2.2,,4992.0,0.15,,2021,10.0,19.0
239,0.3,12.3,0.23,0.13,4.12,2.0,570.0,4853.0,0.15,,2021,10.0,22.0
240,0.21,16.9,0.33,0.14,4.16,2.0,,4698.0,0.15,,2021,10.0,23.0
241,0.3,13.5,0.25,0.13,4.08,2.04,,4808.0,0.15,,2021,10.0,24.0
242,0.15,11.0,0.33,0.14,4.0,2.0,,5036.0,0.15,,2021,10.0,26.0
243,0.19,16.2,0.25,0.16,3.92,1.94,,4947.0,0.15,,2021,10.0,27.0
244,0.21,10.4,0.4,0.19,3.6,1.84,213.0,4965.0,0.13,,2021,11.0,1.0
245,0.18,7.32,0.18,0.14,4.16,2.48,62.0,4963.0,0.13,,2021,11.0,1.0
246,0.18,11.2,0.23,0.18,3.64,1.86,,5232.0,0.12,,2021,11.0,3.0
247,0.11,9.87,0.15,0.22,3.96,2.08,,4892.0,0.13,,2021,11.0,7.0
248,0.08,9.84,0.24,0.16,4.04,2.12,48.0,4936.0,0.13,,2021,11.0,8.0
249,0.14,8.54,0.21,0.19,3.96,1.88,,4833.0,0.12,,2021,11.0,12.0
250,0.24,4.04,0.21,0.12,4.04,2.67,38.0,4781.0,0.15,,2021,11.0,15.0
251,0.13,6.14,0.18,0.15,3.84,1.94,,4786.0,0.16,,2021,11.0,17.0
252,0.08,8.16,0.25,0.16,3.62,1.96,36.0,4935.0,0.16,,2021,11.0,24.0
253,0.07,5.96,0.24,0.12,3.64,1.92,,4906.0,0.17,,2021,11.0,25.0
254,0.14,4.36,0.3,0.12,3.6,1.92,40.0,5026.0,0.16,,2021,11.0,26.0
255,0.12,5.89,0.22,0.15,3.53,1.83,,4905.0,0.17,,2021,11.0,28.0
256,0.12,5.92,0.34,0.16,4.16,1.96,12.0,2512.0,0.19,,2021,12.0,1.0
257,0.15,5.49,0.18,0.15,3.23,1.94,,2416.0,0.25,,2021,12.0,2.0
258,0.14,5.26,0.27,0.18,2.87,1.9,24.0,3411.0,0.17,,2021,12.0,2.0
259,0.13,9.0,0.15,0.11,3.36,1.94,,3955.0,0.06,,2021,12.0,3.0
260,0.17,4.89,0.22,0.16,3.04,1.88,,2400.0,0.2,,2021,12.0,3.0
261,0.13,4.42,0.21,0.12,3.36,1.96,23.0,2010.0,0.2,,2021,12.0,6.0
262,0.21,4.97,0.2,0.15,3.04,1.76,,2496.0,0.19,,2021,12.0,7.0
263,0.13,4.97,0.23,0.18,4.2,2.04,23.0,2592.0,0.19,,2021,12.0,8.0
264,0.08,5.71,0.22,0.18,4.4,2.12,,2602.0,0.19,,2021,12.0,9.0
265,0.11,5.88,0.2,0.17,4.04,2.04,,1640.0,0.21,,2021,12.0,12.0
266,0.24,5.92,0.22,0.14,3.89,1.95,15.0,2560.0,0.21,,2021,12.0,13.0
267,0.12,5.34,0.23,0.14,4.04,2.08,,2564.0,0.2,,2021,12.0,14.0
268,0.13,4.24,0.21,0.15,3.04,1.9,17.0,1984.0,0.2,,2021,12.0,15.0
269,0.11,5.24,0.2,0.14,2.64,1.76,,3601.0,0.18,,2021,12.0,16.0
270,0.15,5.49,0.18,0.15,3.23,1.94,17.0,5241.0,0.16,,2021,12.0,17.0
271,0.22,4.93,0.19,0.14,2.8,1.88,,5103.0,0.15,,2021,12.0,18.0
272,0.13,5.42,0.26,0.16,2.91,1.8,,4931.0,0.16,,2021,12.0,19.0
273,0.12,12.8,0.25,0.21,2.92,1.96,,3723.0,0.16,,2021,12.0,21.0
274,0.11,5.25,0.17,0.14,3.13,2.03,23.0,1259.0,0.16,,2021,12.0,22.0
275,0.12,4.4,0.17,0.18,2.84,1.88,,1416.0,0.17,,2021,12.0,23.0
276,0.14,7.2,0.2,0.15,3.22,2.02,,3681.0,0.17,,2021,12.0,24.0
277,0.15,8.92,0.2,0.19,3.1,2.56,38.0,4752.0,0.16,,2021,12.0,27.0
278,0.1,8.2,0.2,0.16,3.22,1.94,12.0,2110.0,0.15,,2021,12.0,28.0
279,0.18,8.83,0.2,0.15,3.12,1.76,15.0,3832.0,0.17,,2021,12.0,29.0
280,0.12,7.09,0.2,0.11,3.11,1.82,,2118.0,0.16,,2021,12.0,31.0
281,0.07,4.63,0.18,0.1,2.92,1.88,,3087.0,0.07,0.19,2022,1.0,1.0
282,0.15,4.61,0.18,0.11,3.2,1.8,,2146.0,0.15,0.1,2022,1.0,4.0
283,0.18,4.67,0.17,0.12,2.91,1.78,22.0,2178.0,0.18,0.11,2022,1.0,5.0
284,0.13,3.8,0.19,0.12,2.96,1.84,20.0,1812.0,0.13,0.18,2022,1.0,6.0
285,0.14,4.18,0.15,0.09,2.64,1.74,22.0,1791.0,0.14,0.17,2022,1.0,7.0
286,0.1,2.19,0.21,0.11,2.64,1.8,18.0,3689.0,0.1,0.18,2022,1.0,14.0
287,0.11,2.56,0.19,0.14,2.4,1.68,,2991.0,0.11,0.19,2022,1.0,18.0
288,0.11,4.42,0.23,0.15,2.67,1.78,21.0,1801.0,0.11,0.11,2022,1.0,24.0
289,0.17,4.1,0.23,0.16,2.7,1.72,,3381.0,0.17,0.18,2022,1.0,25.0
290,0.14,5.7,0.2,0.14,2.8,1.68,20.0,1837.0,0.14,0.14,2022,1.0,26.0
291,0.07,5.02,0.19,0.15,2.84,1.65,,3483.0,0.07,0.15,2022,1.0,28.0
292,0.08,3.52,0.3,0.13,2.44,1.52,,1457.0,0.08,0.16,2022,2.0,1.0
293,0.11,2.13,0.26,0.14,2.4,1.6,,3638.0,0.11,0.18,2022,2.0,1.0
294,0.1,2.56,0.19,0.17,2.55,1.61,,3384.0,0.1,0.14,2022,2.0,2.0
295,0.1,3.16,0.21,0.15,2.51,1.56,,3347.0,0.1,0.18,2022,2.0,4.0
296,0.17,1.57,0.22,0.17,2.45,1.6,15.0,1579.0,0.17,0.18,2022,2.0,6.0
297,0.14,2.16,0.18,0.15,2.4,1.64,,3466.0,0.14,0.11,2022,2.0,7.0
298,0.12,1.48,0.2,0.16,2.47,1.66,,2107.0,0.12,0.15,2022,2.0,8.0
